transaction_id,transaction_date,raw_description,amount,raw_vendor,true_category,currency
TXN-000000,2024-08-31,CloudFront CDN bandwidth - 10TB transfer - for Marketing dept,1164.02,AMZN WEB SVCS,cloud,USD
TXN-000001,2024-08-18,Cloud migration strategy and roadmap - [COMPLIANCE-2024],99854.71,McKinsey & Co,consulting,USD
TXN-000002,2025-06-26,Standing desks - adjustable height x15,175.04,Amazon Business,office,USD
TXN-000003,2024-09-30,United domestic flights - consultant travel - [COST-OPTIMIZE],5760.2,American Airlines,travel,USD
TXN-000004,2025-02-07,Adobe Creative Cloud for Teams - 50 seats - BILL-37460,4399.18,Microsoft Corp,software,USD
TXN-000005,2025-03-27,Uber for Business - monthly corporate account,2404.08,Enterprise Rent-A-Car,travel,USD
TXN-000006,2025-04-26,RDS MySQL database - db.r5.xlarge,1268.34,MSFT AZURE,cloud,USD
TXN-000007,2025-04-08,Lenovo ThinkPad laptops - new employee setup - for Operations dept,448.11,Costco Wholesale,office,USD
TXN-000008,2025-05-26,Zoom Business Pro - 500 participants - #99192,498.93,Adobe Inc,software,USD
TXN-000009,2025-06-15,Uber for Business - monthly corporate account,3057.41,United Airlines,travel,USD
TXN-000010,2025-03-31,Slack Pro workspace - unlimited history - [WORKSTREAM-GAMMA],5064.91,Microsoft Corp,software,USD
TXN-000011,2025-08-12,Cloud migration strategy and roadmap,172328.31,Accenture LLP,consulting,USD
TXN-000012,2025-07-08,DocuSign Business Pro - 1000 envelopes/month - summer initiative,123.17,Adobe Inc,software,USD
TXN-000013,2024-08-24,Adobe Creative Cloud for Teams - 50 seats - [DIGITAL-TRANSFORM],9235.96,Slack Technologies,software,USD
TXN-000014,2025-04-22,Digital transformation strategy - Phase 1,144240.19,McKinsey & Co,consulting,USD
TXN-000015,2024-12-08,DocuSign Business Pro - 1000 envelopes/month - annual renewal,14708.29,Microsoft Corp,software,USD
TXN-000016,2025-06-23,Ergonomic office chairs - Herman Miller Aeron x12 - mid-year refresh,11080.37,Costco Wholesale,office,USD
TXN-000017,2025-07-05,Business process reengineering - finance dept,9486.14,PwC Advisory,consulting,USD
TXN-000018,2025-05-20,Business process reengineering - finance dept,9064.14,McKinsey & Co,consulting,USD
TXN-000019,2025-05-25,Adobe Creative Cloud for Teams - 50 seats - REF:17665,20667.23,JetBrains s.r.o.,software,USD
TXN-000020,2025-07-14,RDS MySQL database - db.r5.xlarge - summer initiative,959.43,AMZN WEB SVCS,cloud,USD
TXN-000021,2024-09-29,Ergonomic office chairs - Herman Miller Aeron x12,473.72,Staples Inc,office,USD
TXN-000022,2025-03-30,Delta business class - executive team offsite,760.82,United Airlines,travel,USD
TXN-000023,2024-11-10,Azure Storage Account - blob storage 500GB,795.77,AMZN WEB SVCS,cloud,USD
TXN-000024,2024-10-03,Data governance framework implementation - [AI-PILOT],41291.07,Accenture LLP,consulting,USD
TXN-000025,2025-02-18,Adobe Creative Cloud for Teams - 50 seats,3840.88,Microsoft Corp,software,USD
TXN-000026,2025-01-08,United domestic flights - consultant travel - Q4 budget spend,3253.99,Marriott Hotels,travel,USD
TXN-000027,2025-07-05,Agile transformation coaching - 3 teams - mid-year refresh,9418.36,KPMG Services,consulting,USD
TXN-000028,2025-02-10,Dell OptiPlex 7090 desktops - IT department,68.82,Office Depot,office,USD
TXN-000029,2024-01-28,Adobe Creative Cloud for Teams - 50 seats,24476.74,DocuSign Inc,software,USD
TXN-000030,2025-06-18,Standing desks - adjustable height x15,6201.67,CDW Corporation,office,USD
TXN-000031,2024-12-09,DocuSign Business Pro - 1000 envelopes/month - for R&D dept,9458.47,Atlassian Corp,software,USD
TXN-000032,2024-12-12,Zoom Business Pro - 500 participants,4866.8,Microsoft Corp,software,USD
